descriptor,VIP,VIP_ge_1
minHBint7,0.7907668837004106,False
minHBint8,0.729991289301405,False
minHBint9,0.7259017845821742,False
minHBint10,1.4996253053566249,True
minHsOH,1.9753987396591501,True
minHdNH,0.7640073864962368,False
minHsSH,0.2618341071474338,False
minHsNH2,0.6203674597311869,False
minHssNH,1.5034313199676386,True
minHaaNH,0.8859009940526995,False
minHtCH,0.5159036470874632,False
minHdCH2,0.5010271529125438,False
minHdsCH,0.6562997891095095,False
minHaaCH,0.6256892668687128,False
minHCHnX,0.6449124812994722,False
minHCsats,1.0167611960752292,True
minHCsatu,0.8031393306418184,False
minHAvin,0.6925957843755427,False
minHother,0.6790559242449126,False
minsCH3,0.6262246026963474,False
mindCH2,0.5252744757285576,False
minssCH2,0.9111998614426159,False
mintCH,0.5214804731960447,False
mindsCH,0.9039647394127749,False
minaaCH,0.6995185267913544,False
minsssCH,0.6701954798374449,False
mintsC,0.5744298824181105,False
mindssC,0.823347725074385,False
minaasC,0.865485503351744,False
minaaaC,0.680704698036918,False
minssssC,0.6312933802607399,False
minsNH2,0.6296886507606396,False
mindNH,0.7651693080464019,False
minssNH,1.300511749609937,True
minaaNH,0.8247837299967081,False
mintN,0.4805579438000094,False
mindsN,1.1333920807403997,True
minaaN,1.2483416520748545,True
minsssN,1.5717514824169978,True
minaasN,0.8072745425312949,False
minssssNp,0.19120010831441306,False
minsOH,2.009545844314274,True
mindO,1.6403575978681952,True
minssO,1.0469450209506521,True
minaaO,1.0676676981041924,True
minsOm,0.42075630846282797,False
minsF,1.0047084027720476,True
mindsssP,0.2844850629985826,False
minsSH,0.26183410714743394,False
mindS,0.7563962747207833,False
minssS,0.9413483941719027,False
minaaS,0.6512141711038377,False
mindssS,0.27208016003226354,False
minddssS,0.5616277547730444,False
minsCl,0.46209237643824064,False
minsBr,0.5766255796874384,False
minsI,0.4453179863612783,False
maxHBd,1.6642807608849435,True
maxwHBd,0.6245258251189748,False
maxHBa,0.5443015667000797,False
maxwHBa,0.5976298754321959,False
maxHBint2,0.7158981676160892,False
maxHBint3,0.8305915094097243,False
maxHBint4,0.836774755156309,False
maxHBint5,0.931758142886399,False
maxHBint6,0.7620041653049366,False
maxHBint7,0.5620869969305977,False
maxHBint8,0.7405407775317648,False
maxHBint9,0.6075747454160373,False
maxHBint10,1.2962408030387513,True
maxHsOH,1.9797777886546688,True
maxHdNH,0.7792767935063605,False
maxHsSH,0.2618341071474338,False
maxHsNH2,0.6574650952949418,False
maxHssNH,1.4997473071945036,True
maxHaaNH,0.8852878901090903,False
maxHtCH,0.5159036470874632,False
maxHdCH2,0.5010271529125438,False
maxHdsCH,0.6364101071490036,False
maxHaaCH,0.6365824016314054,False
maxHCHnX,0.6341409643891276,False
maxHCsats,1.1929233960472887,True
maxHCsatu,0.7382336210380692,False
maxHAvin,0.6872558074662729,False
maxHother,0.7090095563876979,False
maxsCH3,0.6395146622324249,False
maxdCH2,0.5252744757285576,False
maxssCH2,1.3261153886383075,True
maxtCH,0.5214804731960447,False
maxdsCH,0.786123975319885,False
maxaaCH,1.0411969095353422,True
maxsssCH,1.4287939706910557,True
maxtsC,0.5728183952409396,False
maxdssC,0.762896120982602,False
maxaasC,0.9800022421128808,False
maxaaaC,0.6467824803941732,False
maxssssC,0.4963256554980377,False
maxsNH2,0.6471959524983127,False
maxdNH,0.772214045096907,False
maxssNH,1.3086776177376533,True
maxaaNH,0.8249701612478084,False
maxtN,0.48051911660249474,False
maxdsN,1.1332909922708614,True
maxaaN,1.2598569727137905,True
maxsssN,1.5284239280388519,True
maxaasN,0.8091611608588526,False
maxssssNp,0.19120010831441306,False
maxsOH,2.0117570582577238,True
