descriptor,mean_standardised_value_high_residual,mean_standardised_value_other,mean_difference_high_minus_other,abs_mean_difference,descriptor_category,descriptor_numeric_type,candidate_super_block,is_near_constant,is_rare_binary_like,dominant_value_ratio,VIP,VIP_ge_1,coefficient_standardised_X,abs_coefficient_standardised_X
AMR,0.31126319298412514,-0.016434696589561523,0.3276978895736867,0.3276978895736867,ALOGP,continuous_float_like,not_assigned,False,False,0.0045592705167173,1.55020851170119,True,0.0176349332814425,0.0176349332814425
apol,0.31121160205336346,-0.01643197258841733,0.3276435746417808,0.3276435746417808,APol,continuous_float_like,not_assigned,False,False,0.0106382978723404,1.4504885490346109,True,-0.0029706621143406,0.0029706621143406
SP-4,0.308778747863976,-0.01630351788721776,0.3250822657511938,0.3250822657511938,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.4474230709933806,True,0.0507914058652445,0.0507914058652445
nAtom,0.3064002380213853,-0.016177932567528964,0.32257817058891425,0.32257817058891425,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0430597771023302,1.3953487391310442,True,-0.0042734902411356,0.0042734902411356
VAdjMat,0.30251202675578887,-0.015972635012707844,0.3184846617684967,0.3184846617684967,Vertex adjacency information (magnitude),continuous_float_like,not_assigned,False,False,0.0795339412360689,1.4793218826550132,True,0.0095298241809264,0.0095298241809264
ETA_Beta,0.3019580133612775,-0.015943383105475353,0.3179013964667528,0.3179013964667528,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0217831813576494,1.2433435743468524,True,-0.0121990651976022,0.0121990651976022
ETA_Eta_L,0.29980078512785774,-0.015829481454750688,0.3156302665826084,0.3156302665826084,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0045592705167173,1.3184844669499765,True,0.018544389500038,0.018544389500038
ATSp4,0.29932845208033715,-0.015804542269841675,0.31513299435017883,0.31513299435017883,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.4886801240398375,True,-0.0600909230011772,0.0600909230011772
nBonds2,0.2981238485414231,-0.015740939202987116,0.31386478774441023,0.31386478774441023,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0450861195542046,1.4283885679715378,True,-0.0032055127462599,0.0032055127462599
VPC-4,0.2937444234541935,-0.015509705558381574,0.30925412901257504,0.30925412901257504,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0070921985815602,1.011474453604221,True,0.0659719867136589,0.0659719867136589
