descriptor,coefficient_standardised_X,abs_coefficient_standardised_X
minddssS,0.028989115353194254,0.028989115353194254
minsCl,0.05152903779160281,0.05152903779160281
minsBr,0.058181441061549335,0.058181441061549335
minsI,0.02906244058328962,0.02906244058328962
maxHBd,0.11739084564829695,0.11739084564829695
maxwHBd,-0.017830014159508592,0.017830014159508592
maxHBa,0.033673939958102764,0.033673939958102764
maxwHBa,-0.06908891322104399,0.06908891322104399
maxHBint2,-0.08706860606918698,0.08706860606918698
maxHBint3,-0.12397368939319975,0.12397368939319975
maxHBint4,0.02590676673626801,0.02590676673626801
maxHBint5,-0.044652656195852,0.044652656195852
maxHBint6,0.02189766330411062,0.02189766330411062
maxHBint7,0.05740642783638015,0.05740642783638015
maxHBint8,0.013266208263144987,0.013266208263144987
maxHBint9,0.017257385231216622,0.017257385231216622
maxHBint10,0.011183563976821926,0.011183563976821926
maxHsOH,0.10975398652647368,0.10975398652647368
maxHdNH,0.004966049779596357,0.004966049779596357
maxHsSH,-0.0021195681230724685,0.0021195681230724685
maxHsNH2,0.03534584319808214,0.03534584319808214
maxHssNH,-0.00862124865515346,0.00862124865515346
maxHaaNH,-0.02285997571046315,0.02285997571046315
maxHtCH,-0.06109350228299194,0.06109350228299194
maxHdCH2,0.007310730968294662,0.007310730968294662
maxHdsCH,-0.04419453010235955,0.04419453010235955
maxHaaCH,0.0026637080772590033,0.0026637080772590033
maxHCHnX,-0.05467571157884675,0.05467571157884675
maxHCsats,-0.003665780390330251,0.003665780390330251
maxHCsatu,0.046090922279197116,0.046090922279197116
maxHAvin,0.1395100446007871,0.1395100446007871
maxHother,-0.12292235849857132,0.12292235849857132
maxsCH3,0.007072066605733143,0.007072066605733143
maxdCH2,-0.0010872195486885646,0.0010872195486885646
maxssCH2,0.10683952289376292,0.10683952289376292
maxtCH,0.05262260591931707,0.05262260591931707
maxdsCH,-0.053065942694602915,0.053065942694602915
maxaaCH,0.12712177412304307,0.12712177412304307
maxsssCH,0.13654522326287402,0.13654522326287402
maxtsC,0.04155326846627155,0.04155326846627155
maxdssC,0.09603032482537249,0.09603032482537249
maxaasC,-0.040553141984305104,0.040553141984305104
maxaaaC,-0.020869040717213787,0.020869040717213787
maxssssC,-0.029188993955663822,0.029188993955663822
maxsNH2,-0.04110975935258687,0.04110975935258687
maxdNH,-0.011751357349394973,0.011751357349394973
maxssNH,-0.05948871088935564,0.05948871088935564
maxaaNH,-0.05063794263180902,0.05063794263180902
maxtN,0.016777824279423523,0.016777824279423523
maxdsN,-0.04023535250170031,0.04023535250170031
maxaaN,0.04673118081392082,0.04673118081392082
maxsssN,0.0583800537843982,0.0583800537843982
maxaasN,-0.05123801174977301,0.05123801174977301
maxssssNp,0.003856252058041393,0.003856252058041393
maxsOH,0.06581618899737149,0.06581618899737149
maxdO,-0.04563800834038106,0.04563800834038106
maxssO,-0.011252927438292572,0.011252927438292572
maxaaO,0.0007477333447422894,0.0007477333447422894
