descriptor,VIP,VIP_ge_1,coefficient_standardised_X,abs_coefficient_standardised_X,descriptor_category,descriptor_numeric_type,candidate_super_block,is_near_constant,is_rare_binary_like,dominant_value_ratio
ETA_Beta_s,1.2983133207053636,True,-0.013569718944523267,0.013569718944523267,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.03596757852077
C1SP3,1.297704050916832,True,0.1904799604615939,0.1904799604615939,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.2203647416413373
maxHBint10,1.2962408030387513,True,0.011183563976821926,0.011183563976821926,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.502532928064843
MW,1.291979873884447,True,-0.0014928434649715099,0.0014928434649715099,Weight,continuous_float_like,not_assigned,False,False,0.0106382978723404
nBondsS2,1.2784930863657742,True,-0.006440830449389657,0.006440830449389657,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0440729483282674
BCUTc-1h,1.2707280227957427,True,-0.0663233931235072,0.0663233931235072,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
bpol,1.261844543645333,True,-0.040324445279771914,0.040324445279771914,BPol,continuous_float_like,not_assigned,False,False,0.0136778115501519
maxaaN,1.2598569727137905,True,0.04673118081392082,0.04673118081392082,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.7583586626139818
SssCH2,1.2560293371146825,True,-0.10393543494289326,0.10393543494289326,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.2548125633232016
ATSm2,1.2551463678491313,True,-0.005971506468074106,0.005971506468074106,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0116514690982776
VP-6,1.2545059755910493,True,-0.03459660430257022,0.03459660430257022,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115
ETA_Beta_ns_d,1.2519569276605091,True,-0.023005769474815682,0.023005769474815682,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,True,False,0.3206686930091185
minaaN,1.2483416520748545,True,0.06677558728305685,0.06677558728305685,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.7583586626139818
MLFER_L,1.2467921508213797,True,-0.043600781057707094,0.043600781057707094,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0040526849037487
XLogP,1.2455908174359929,True,0.13007306087759565,0.13007306087759565,XLogP,continuous_float_like,not_assigned,False,False,0.0045592705167173
ETA_Beta,1.2433435743468524,True,-0.012199065197602265,0.012199065197602265,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0217831813576494
Kier1,1.2420549361832909,True,0.008681536829812701,0.008681536829812701,Kappa shape indices,continuous_float_like,not_assigned,False,False,0.0577507598784194
MDEN-23,1.2410856018305647,True,0.1567033577377443,0.1567033577377443,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.8247213779128673
ETA_Eta_R,1.2193537126122338,True,-0.015741680313461598,0.015741680313461598,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0055724417426545
ATSm3,1.215660622699671,True,0.025895373905999115,0.025895373905999115,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545
SHssNH,1.2156068614873028,True,0.05774609400206544,0.05774609400206544,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217
ATSm4,1.2067692998927804,True,0.029138548742162054,0.029138548742162054,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0050658561296859
SsssN,1.2064466939756793,True,-0.021447676426690335,0.021447676426690335,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5536980749746707
ETA_Eta,1.2004200820934259,True,0.005868463271955476,0.005868463271955476,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
nAromBond,1.199929527481246,True,-0.0019653198873167107,0.0019653198873167107,Aromatic bonds count,integer_count_like,not_assigned,False,False,0.3297872340425531
maxHCsats,1.1929233960472887,True,-0.003665780390330251,0.003665780390330251,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.3074974670719351
VP-7,1.1924674256258319,True,-0.11412025701503015,0.11412025701503015,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115
nN,1.1904960591775011,True,-0.039511720572693705,0.039511720572693705,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.3799392097264438
WTPT-5,1.189931641037157,True,-0.0645648131562357,0.0645648131562357,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.2492401215805471
ECCEN,1.1884859357976403,True,0.11100127320853327,0.11100127320853327,Eccentric connectivity index,integer_count_like,not_assigned,False,False,0.0106382978723404
SHCsats,1.173912269094199,True,0.12640234330745548,0.12640234330745548,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.3074974670719351
Kier2,1.1729930016935193,True,-0.01681635992641534,0.01681635992641534,Kappa shape indices,continuous_float_like,not_assigned,False,False,0.0288753799392097
nHCsats,1.1688697187292378,True,0.09872426380276364,0.09872426380276364,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,0.3074974670719351
nBondsS3,1.1595735030627836,True,0.003294778024978931,0.003294778024978931,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0628166160081053
ETA_Shape_P,1.158972414245563,True,0.026325205073715628,0.026325205073715628,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0070921985815602
nssCH2,1.152548980061604,True,-0.04715571235997085,0.04715571235997085,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,0.2548125633232016
ETA_BetaP_s,1.1494091694733732,True,-0.099196305092659,0.099196305092659,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0764944275582573
ETA_dEpsilon_A,1.1456651694372304,True,0.020567619134878302,0.020567619134878302,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0106382978723404
ETA_Epsilon_5,1.1385514398629906,True,0.06682911992968824,0.06682911992968824,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0141843971631205
ETA_Epsilon_2,1.1384117417463926,True,0.0318322867342742,0.0318322867342742,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0151975683890577
mindsN,1.1333920807403997,True,-0.043629237269534174,0.043629237269534174,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.9371833839918946
maxdsN,1.1332909922708614,True,-0.04023535250170031,0.04023535250170031,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.9371833839918946
ETA_Epsilon_1,1.1248060411024645,True,0.02420066892833876,0.02420066892833876,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0136778115501519
MDEO-12,1.123800707067345,True,-0.13576587339271645,0.13576587339271645,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.3946301925025329
SHBd,1.1227919541192308,True,0.07650034581104953,0.07650034581104953,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0633232016210739
ATSm5,1.118548784117825,True,0.15082167731281096,0.15082167731281096,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545
ndssC,1.114678295493964,True,-0.0002521455959905261,0.0002521455959905261,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.3824721377912867
nHBAcc_Lipinski,1.1123606137090296,True,-0.0195786624218703,0.0195786624218703,Hbond acceptor count,integer_low_cardinality,not_assigned,True,False,0.2537993920972644
ETA_Eta_F,1.1100792014144119,True,-0.03944094575754797,0.03944094575754797,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
SdsN,1.1097030924801432,True,-0.0215280095245872,0.0215280095245872,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.9371833839918946
MDEN-22,1.1090440639735673,True,0.1347694208935694,0.1347694208935694,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.8196555217831814
ALogP,1.1085357816968093,True,0.021057309146913828,0.021057309146913828,ALOGP,continuous_float_like,not_assigned,False,False,0.0045592705167173
nHssNH,1.103216215948416,True,0.04382212575091804,0.04382212575091804,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.8302938196555217
nssNH,1.103216215948416,True,0.04382212575091804,0.04382212575091804,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.8302938196555217
SssNH,1.1025633674705715,True,0.029931796009579667,0.029931796009579667,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217
SssO,1.1004091342794833,True,-0.009060797268379347,0.009060797268379347,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4731509625126646
sumI,1.0978426847648142,True,0.03667775939360316,0.03667775939360316,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0070921985815602
