dataset_name,n_components,fold,rmse,mae,r2
primary_remove_constant_only,37,5,0.8060082231294333,0.6321619740531399,0.6772489042322003
primary_remove_constant_only,38,1,0.8956477786051114,0.6747164471884046,0.6040615882172753
primary_remove_constant_only,38,2,0.891476016333305,0.655283125821115,0.6151665462115261
primary_remove_constant_only,38,3,0.7919480357055234,0.6090807653141184,0.6967971341770551
primary_remove_constant_only,38,4,0.8182608253346444,0.6329613915746166,0.6531920578221517
primary_remove_constant_only,38,5,0.8019099455014959,0.6295893994179876,0.6805227189590407
primary_remove_constant_only,39,1,0.8935968208389553,0.6746437006853443,0.6058728430734686
primary_remove_constant_only,39,2,0.8889050745875765,0.6562911726769454,0.61738300009872
primary_remove_constant_only,39,3,0.7896240390419726,0.6078506672109532,0.6985740400320009
primary_remove_constant_only,39,4,0.8222392200186435,0.6392869908668394,0.6498114901967602
primary_remove_constant_only,39,5,0.8011413481001686,0.6280092836616581,0.6811348369029813
primary_remove_constant_only,40,1,0.8918673911086507,0.673268644353603,0.6073969210963572
primary_remove_constant_only,40,2,0.8862852558427402,0.6542714929538396,0.619635006703309
primary_remove_constant_only,40,3,0.7904325700140913,0.6066025268933306,0.6979564372584264
primary_remove_constant_only,40,4,0.8220019839112592,0.6405352894837242,0.6500135369295601
primary_remove_constant_only,40,5,0.8029209521847902,0.6303774740233741,0.6797166502103473
primary_remove_constant_only,41,1,0.8906242893170816,0.674113073865025,0.6084905937028304
primary_remove_constant_only,41,2,0.8823969630256369,0.6514449133678821,0.6229651449558822
primary_remove_constant_only,41,3,0.792875995160072,0.608129587091837,0.6960861663002269
primary_remove_constant_only,41,4,0.8221114585121223,0.6429323918235629,0.6499203080068032
primary_remove_constant_only,41,5,0.8020132949613678,0.6290144128841391,0.6804403657415126
primary_remove_constant_only,42,1,0.893418932767358,0.6737442582927001,0.6060297450226118
primary_remove_constant_only,42,2,0.8789853800919878,0.6504628564637426,0.6258749444412139
primary_remove_constant_only,42,3,0.7904600916500737,0.6041805271562476,0.697935403515592
primary_remove_constant_only,42,4,0.821917357872567,0.6429712840476168,0.6500855962285483
primary_remove_constant_only,42,5,0.8040406724987683,0.6300471402104917,0.6788227195295417
primary_remove_constant_only,43,1,0.8925580405665273,0.6739023900555818,0.6067886331510994
primary_remove_constant_only,43,2,0.882281092184309,0.6520756065239031,0.6230641581649481
primary_remove_constant_only,43,3,0.7918476603531552,0.6065193959856405,0.6968739881231256
primary_remove_constant_only,43,4,0.8156490759195325,0.6371220111165079,0.6554024285781441
primary_remove_constant_only,43,5,0.8012484152360757,0.6270731558547004,0.6810496028525272
primary_remove_constant_only,44,1,0.8927280734619675,0.6725650184051649,0.6066388048317848
primary_remove_constant_only,44,2,0.8834425065259889,0.6530790688053207,0.6220711258142981
primary_remove_constant_only,44,3,0.794621673887081,0.6090811207808898,0.694746436104692
primary_remove_constant_only,44,4,0.8171615611310877,0.6382502142850871,0.6541232461841802
primary_remove_constant_only,44,5,0.8022713099711032,0.6291142105565172,0.6802347221560211
primary_remove_constant_only,45,1,0.8906604254102957,0.6714212415899106,0.6084588229380268
primary_remove_constant_only,45,2,0.8850915070598645,0.6544424449973805,0.6206589534632703
primary_remove_constant_only,45,3,0.7927192212886437,0.6087652345401492,0.6962063390337405
primary_remove_constant_only,45,4,0.818263558629127,0.6394122323813156,0.6531897408841076
