dataset_name,n_components,fold,rmse,mae,r2
block_Y_only,14,1,0.967346388345053,0.7613473076495151,0.5381327594940656
block_Y_only,14,2,0.9768614608743258,0.7517234887640935,0.5379175828149271
block_Y_only,14,3,0.880950770784646,0.6968493711470585,0.6248169499063827
block_Y_only,14,4,0.8956591103251343,0.6834553666746198,0.5844808815451756
block_Y_only,14,5,0.8940931592417037,0.7023450692663523,0.6028502218206993
block_Y_only,15,1,0.9588934986900056,0.7543718319120449,0.5461692919285321
block_Y_only,15,2,0.984668053814502,0.7485588579853094,0.5305026047128192
block_Y_only,15,3,0.8785824062596155,0.6943350534132547,0.6268315364900083
block_Y_only,15,4,0.8839269122476534,0.6739359357815171,0.5952953178754814
block_Y_only,15,5,0.8955895072782863,0.7053791779025362,0.6015197752753896
block_Y_only,16,1,0.9594859230442031,0.7510455654937112,0.5456083465925274
block_Y_only,16,2,0.9906793498899196,0.7497981656560571,0.5247526411069888
block_Y_only,16,3,0.8738855534462758,0.6880057807854435,0.6308107474789131
block_Y_only,16,4,0.8820311887571214,0.6720606804120864,0.5970293650264986
block_Y_only,16,5,0.8858373169342847,0.6966375534918227,0.6101507319578403
block_Y_only,17,1,0.9595204066052043,0.7487738702035369,0.5455756846774495
block_Y_only,17,2,0.9832136394722039,0.7389921610923383,0.5318885325733871
block_Y_only,17,3,0.8824993450420632,0.6919983992006953,0.6234967638410676
block_Y_only,17,4,0.8658126081828655,0.6601036881367077,0.6117125738628103
block_Y_only,17,5,0.8923292830288237,0.697290102412701,0.60441567848458
block_Y_only,18,1,0.9553953578620034,0.7483685824815981,0.5494744930467926
block_Y_only,18,2,0.9703663244651857,0.7359424715689765,0.5440419119902654
block_Y_only,18,3,0.888543263385866,0.6977286715699194,0.6183220358286894
block_Y_only,18,4,0.8658452040304375,0.6606983720053579,0.6116833370605693
block_Y_only,18,5,0.8870145076681505,0.6896942125467683,0.6091139007664501
block_Y_only,19,1,0.9489593044510811,0.7397565384027657,0.5555240086820513
block_Y_only,19,2,0.9640047522143045,0.7298831404088028,0.550000697389094
block_Y_only,19,3,0.8827489771296515,0.6960296882090058,0.6232837312027553
block_Y_only,19,4,0.8652615958521596,0.6584899037626607,0.6122066370752055
block_Y_only,19,5,0.8854753280905027,0.689219202679459,0.6104692831166316
block_Y_only,20,1,0.9440146321556088,0.7361408514507815,0.5601439374476287
block_Y_only,20,2,0.9488936066485029,0.722019877464758,0.5639979491725063
block_Y_only,20,3,0.8838280607929674,0.6948219534241423,0.6223621626879811
block_Y_only,20,4,0.871448397769424,0.6631665656337867,0.6066412031601728
block_Y_only,20,5,0.8800296262803523,0.6835204271918512,0.6152458028665675
block_Y_only,21,1,0.9408593470840565,0.7341135658566764,0.5630793831544616
block_Y_only,21,2,0.9323797112665185,0.7140451466536613,0.5790416578938338
block_Y_only,21,3,0.8682009889643194,0.6803393868389906,0.6355982261595866
block_Y_only,21,4,0.872356935071074,0.6640659510012862,0.6058205752574092
block_Y_only,21,5,0.882224358508555,0.6814348564833927,0.6133243097967853
