feature,importance_mean,importance_sd
maxaasN,0.0,0.0
maxssssNp,0.0,0.0
maxsOm,0.0,0.0
maxsSH,0.0,0.0
maxdS,0.0,0.0
mindsssP,0.0,0.0
minsOm,0.0,0.0
minssssNp,0.0,0.0
mindsN,0.0,0.0
SHdCH2,0.0,0.0
SHCHnX,0.0,0.0
StCH,0.0,0.0
StsC,0.0,0.0
SdNH,0.0,0.0
StN,0.0,0.0
SssssNp,0.0,0.0
SsOm,0.0,0.0
SdsssP,0.0,0.0
SsSH,0.0,0.0
SaaS,0.0,0.0
SdssS,0.0,0.0
SsI,0.0,0.0
minwHBd,0.0,0.0
minHdNH,0.0,0.0
minHsSH,0.0,0.0
minHtCH,0.0,0.0
minHdCH2,0.0,0.0
minHCHnX,0.0,0.0
mindCH2,0.0,0.0
mintCH,0.0,0.0
mintsC,0.0,0.0
minsNH2,0.0,0.0
mindNH,0.0,0.0
mintN,0.0,0.0
minHsNH2,0.0,0.0
