component,descriptor_category,sum_squared_weight,n_descriptors,component_total_squared_weight,prop_component_squared_weight,mean_squared_weight
PC3,Hbond acceptor count,0.003303057383840022,4,0.9999999999999989,0.0033030573838400256,0.0008257643459600055
PC3,Rule of five,0.0007559724762266828,1,0.9999999999999989,0.0007559724762266837,0.0007559724762266828
PC3,Fragment complexity,0.0007302741291085213,1,0.9999999999999989,0.0007302741291085221,0.0007302741291085213
PC3,Atom count,0.007614058017004248,13,0.9999999999999989,0.0076140580170042564,0.0005856967705387883
PC3,APol,0.0005397408940435688,1,0.9999999999999989,0.0005397408940435695,0.0005397408940435688
PC3,BCUT,0.003139430756995012,6,0.9999999999999989,0.0031394307569950156,0.0005232384594991687
PC3,McGowan volume,0.0005072166508301814,1,0.9999999999999989,0.000507216650830182,0.0005072166508301814
PC3,Autocorrelation (charge),0.0024496114872265906,5,0.9999999999999989,0.0024496114872265932,0.0004899222974453181
PC3,Basic group count,0.0004326571992301595,1,0.9999999999999989,0.00043265719923016,0.0004326571992301595
PC3,Chi chain,0.003740827583290684,10,0.9999999999999989,0.0037408275832906883,0.0003740827583290684
PC3,Van der Waals volume,0.0003599954122595331,1,0.9999999999999989,0.0003599954122595335,0.0003599954122595331
PC3,Acidic group count,0.0003402863499295603,1,0.9999999999999989,0.00034028634992956067,0.0003402863499295603
PC3,Kappa shape indices,0.0009481467892454363,3,0.9999999999999989,0.0009481467892454374,0.00031604892974847876
PC3,Eccentric connectivity index,0.0002611312385976288,1,0.9999999999999989,0.00026113123859762907,0.0002611312385976288
PC3,Petitjean number,0.00017660483375990605,1,0.9999999999999989,0.00017660483375990624,0.00017660483375990605
PC3,Rotatable bonds count,6.117765301344218e-05,1,0.9999999999999989,6.117765301344224e-05,6.117765301344218e-05
PC3,XLogP,5.889147522012304e-05,1,0.9999999999999989,5.889147522012311e-05,5.889147522012304e-05
PC3,Longest aliphatic chain,2.20726070955591e-05,1,0.9999999999999989,2.2072607095559125e-05,2.20726070955591e-05
